Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens,Ancestors
0,20,0,2.0,80.61749999999998,8.1,3.05,99.2,75.25,23.15,38.25,0.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
1000,20,3,852.15,104.51600000000013,8.1,3.05,113.1,81.2,22.25,38.625,0.15,"[1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 1002, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",[]
2000,20,8,1452.3,116.05975000000008,8.65,3.2,105.2,91.1,22.15,41.9,0.3,"[2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 1003, 3, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",[]
3000,19,12,2107.684210526316,140.76499999999996,8.684210526315791,3.3684210526315788,105.10526315789473,101.05263157894736,22.052631578947373,43.55263157894736,0.42105263157894735,"[3002, 3002, 3002, 3002, 3002, 3002, 3002, 3002, 3002, 3002, 3002, 3002, 1003, 1003, 1003, 1003, 4, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1]",[]
4000,26,12,2271.884615384615,119.7017307692308,8.615384615384615,3.3461538461538463,98.6153846153846,98.5,21.884615384615387,42.692307692307686,0.6538461538461539,"[4002, 4002, 4002, 4002, 4002, 4002, 4002, 4002, 4002, 4002, 4002, 4002, 2003, 2003, 2003, 2003, 1004, 1003, 1003, 4, 4, 3, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1]",[]
5000,31,13,2583.516129032258,131.23435483870978,8.580645161290322,3.3548387096774195,102.35483870967742,100.51612903225808,22.096774193548388,42.80645161290322,0.8709677419354839,"[5002, 5002, 5002, 5002, 5002, 5002, 5002, 5002, 5002, 5002, 5002, 3003, 3003, 3003, 3003, 2004, 2003, 2003, 1004, 1004, 1003, 1003, 1003, 1003, 1003, 5, 4, 4, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1]",[]
6000,36,13,3086.333333333333,112.74916666666643,8.75,3.2777777777777777,102.69444444444444,102.66666666666669,22.08333333333333,43.055555555555564,1.0,"[6002, 6002, 6002, 6002, 6002, 6002, 6002, 6002, 6002, 6002, 6002, 4003, 4003, 4003, 4003, 3004, 3003, 3003, 2004, 2004, 2003, 2003, 2003, 2003, 2003, 1005, 1004, 1004, 1003, 1003, 1003, 5, 4, 4, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 3, 2, 2, 1, 1]",[]
7000,39,17,3208.384615384615,119.62525641025637,9.051282051282053,3.358974358974359,109.20512820512822,107.35897435897436,22.179487179487182,45.256410256410255,1.2564102564102564,"[7002, 7002, 7002, 7002, 7002, 7002, 7002, 7002, 7002, 5003, 5003, 5003, 4004, 4003, 4003, 3004, 3004, 3003, 3003, 3003, 3003, 2005, 2004, 2004, 2003, 2003, 2003, 1005, 1004, 1004, 1003, 1003, 6, 5, 4, 4, 4, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 3, 2, 2, 1, 1, 4, 3, 2, 2, 2, 1, 1]",[]
8000,45,21,3314.777777777778,115.68099999999978,9.044444444444443,3.3777777777777778,115.13333333333334,108.62222222222222,22.177777777777774,45.4,1.6666666666666667,"[8002, 8002, 8002, 8002, 8002, 8002, 8002, 8002, 6003, 6003, 6003, 5004, 5003, 5003, 4004, 4004, 4003, 4003, 4003, 4003, 3005, 3004, 3004, 3003, 2005, 2004, 2004, 2003, 2003, 1006, 1005, 1004, 1004, 1004, 1003, 7, 6, 6, 5, 5, 5, 5, 4, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 3, 2, 2, 1, 3, 2, 2, 1, 1, 4, 3, 2, 2, 2, 1, 5, 4, 4, 3, 3, 3, 3, 2, 1, 1]",[]
9000,37,37,3425.0,111.63381578947359,9.105263157894736,3.3947368421052637,116.26315789473685,110.76315789473685,22.552631578947373,46.05263157894736,1.947368421052632,"[9002, 9002, 9002, 9002, 7003, 6004, 6003, 6003, 5004, 5004, 5003, 5003, 5003, 5003, 4005, 4004, 4004, 3005, 3003, 3003, 2005, 2004, 2004, 2003, 1007, 1006, 1006, 1005, 1005, 1005, 1005, 1004, 1003, 1003, 7, 6, 4, 3]","[0, 0, 0, 0, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 3, 2, 2, 3, 1, 1, 3, 2, 2, 1, 5, 4, 4, 3, 3, 3, 3, 2, 1, 1, 5, 4, 2, 1]","[[([10, 4, 110, 120, 28], 0)], [([9, 4, 113, 114, 23], 0)], [([9, 2, 67, 116, 25], 0)], [([9, 3, 155, 101, 19], 0)], [([10, 4, 110, 120, 28], 0), ([10, 4, 110, 123, 28], 1), ([10, 4, 110, 110, 28], 2)], [([9, 4, 146, 101, 22], 0), ([9, 4, 146, 118, 22], 1)], [([9, 3, 155, 101, 19], 0), ([9, 3, 155, 95, 19], 1)], [([8, 3, 73, 116, 20], 0), ([13, 3, 73, 116, 20], 1), ([13, 3, 73, 115, 20], 2)], [([8, 4, 77, 58, 15], 0), ([8, 4, 85, 58, 15], 1)], [([9, 4, 146, 101, 22], 0), ([9, 4, 146, 118, 22], 1)], [([8, 3, 73, 116, 20], 0), ([8, 3, 73, 116, 22], 1)], [([10, 4, 110, 120, 28], 0), ([10, 4, 110, 123, 28], 1), ([10, 4, 110, 110, 28], 2), ([10, 4, 110, 128, 28], 3)], [([9, 4, 146, 101, 22], 0), ([9, 4, 146, 118, 22], 1), ([9, 4, 146, 118, 22], 2)], [([9, 3, 155, 101, 19], 0), ([9, 3, 155, 95, 19], 1), ([9, 3, 155, 82, 19], 2)], [([8, 3, 73, 116, 20], 0), ([13, 3, 73, 116, 20], 1), ([13, 3, 73, 115, 20], 2), ([13, 3, 73, 126, 20], 3)], [([10, 4, 110, 120, 28], 0), ([10, 3, 110, 120, 28], 1)], [([8, 3, 73, 116, 20], 0), ([8, 2, 73, 116, 20], 1)], [([9, 4, 146, 101, 22], 0), ([9, 4, 146, 118, 22], 1), ([9, 4, 146, 118, 22], 2), ([9, 3, 146, 118, 22], 3)], [([9, 3, 155, 101, 19], 0), ([9, 3, 155, 95, 19], 1), ([9, 3, 155, 105, 19], 2)], [([9, 3, 155, 101, 19], 0), ([10, 3, 155, 101, 19], 1)], [([10, 4, 110, 120, 28], 0), ([10, 4, 110, 123, 28], 1), ([10, 4, 110, 110, 28], 2), ([10, 4, 110, 128, 28], 3), ([10, 4, 110, 128, 26], 4), ([10, 4, 110, 114, 26], 5)], [([10, 4, 110, 120, 28], 0), ([10, 4, 110, 123, 28], 1), ([10, 4, 110, 110, 28], 2), ([10, 4, 110, 128, 28], 3), ([10, 3, 110, 128, 28], 4)], [([9, 4, 146, 101, 22], 0), ([9, 4, 146, 118, 22], 1), ([9, 4, 146, 118, 22], 2), ([9, 3, 146, 118, 22], 3), ([9, 3, 131, 118, 22], 4)], [([9, 4, 113, 114, 23], 0), ([8, 4, 113, 114, 23], 1), ([8, 4, 108, 114, 23], 2), ([8, 4, 108, 114, 20], 3)], [([9, 3, 155, 101, 19], 0), ([9, 3, 155, 95, 19], 1), ([9, 3, 155, 82, 19], 2), ([8, 3, 155, 82, 19], 3)], [([9, 3, 155, 101, 19], 0), ([9, 3, 155, 95, 19], 1), ([9, 3, 155, 95, 19], 2), ([9, 3, 155, 95, 19], 3)], [([9, 3, 155, 101, 19], 0), ([9, 3, 155, 95, 19], 1), ([9, 3, 155, 105, 19], 2), ([9, 3, 155, 105, 16], 3)], [([8, 3, 73, 116, 20], 0), ([8, 3, 73, 116, 22], 1), ([8, 3, 70, 116, 22], 2)], [([9, 4, 113, 114, 23], 0), ([9, 4, 113, 97, 23], 1)], [([10, 4, 110, 120, 28], 0), ([10, 4, 110, 123, 28], 1), ([10, 4, 110, 110, 28], 2), ([10, 4, 110, 128, 28], 3), ([10, 3, 110, 128, 28], 4), ([10, 3, 96, 128, 28], 5)], [([8, 3, 73, 116, 20], 0), ([13, 3, 73, 116, 20], 1), ([13, 3, 73, 115, 20], 2), ([13, 3, 73, 126, 20], 3), ([10, 3, 73, 126, 20], 4)], [([9, 4, 113, 114, 23], 0), ([8, 4, 113, 114, 23], 1), ([8, 4, 123, 114, 23], 2)], [([10, 4, 110, 120, 28], 0), ([8, 4, 110, 120, 28], 1)], [([10, 4, 110, 120, 28], 0), ([10, 4, 110, 123, 28], 1), ([10, 4, 110, 110, 28], 2), ([10, 4, 110, 128, 28], 3), ([10, 3, 110, 128, 28], 4), ([10, 2, 110, 128, 28], 5)], [([8, 3, 73, 116, 20], 0), ([13, 3, 73, 116, 20], 1), ([13, 3, 73, 115, 20], 2), ([13, 3, 54, 115, 20], 3)], [([9, 4, 146, 101, 22], 0), ([9, 4, 146, 118, 22], 1), ([9, 4, 146, 118, 22], 2), ([9, 4, 146, 135, 22], 3)], [([9, 3, 155, 101, 19], 0), ([9, 3, 155, 101, 22], 1)]]"
