Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss
2900,5,6,2902.0,163.54800000000142,9.8,3.6,191.0,79.4,25.0,38.4
2950,5,6,2952.0,167.19200000000131,9.8,3.6,191.0,79.4,25.0,38.4
3000,5,6,3002.0,153.75200000000126,9.8,3.6,191.0,79.4,25.0,38.4
3050,5,6,3052.0,155.41200000000126,9.8,3.6,191.0,79.4,25.0,38.4
3100,5,6,3102.0,148.80200000000144,9.8,3.6,191.0,79.4,25.0,38.4
3150,5,6,3152.0,148.57200000000148,9.8,3.6,191.0,79.4,25.0,38.4
3200,5,6,3202.0,142.5000000000017,9.8,3.6,191.0,79.4,25.0,38.4
3250,5,6,3252.0,139.69800000000185,9.8,3.6,191.0,79.4,25.0,38.4
3300,5,6,3302.0,131.3060000000018,9.8,3.6,191.0,79.4,25.0,38.4
3350,5,6,3352.0,124.93600000000185,9.8,3.6,191.0,79.4,25.0,38.4
3400,5,6,3402.0,123.11600000000195,9.8,3.6,191.0,79.4,25.0,38.4
3450,5,6,3452.0,130.02200000000232,9.8,3.6,191.0,79.4,25.0,38.4
3500,5,6,3502.0,133.69200000000228,9.8,3.6,191.0,79.4,25.0,38.4
3550,5,6,3552.0,138.4920000000024,9.8,3.6,191.0,79.4,25.0,38.4
3600,5,6,3602.0,138.67200000000236,9.8,3.6,191.0,79.4,25.0,38.4
3650,5,6,3652.0,138.08200000000255,9.8,3.6,191.0,79.4,25.0,38.4
3700,5,6,3702.0,126.8820000000028,9.8,3.6,191.0,79.4,25.0,38.4
3750,5,6,3752.0,127.68200000000307,9.8,3.6,191.0,79.4,25.0,38.4
3800,5,6,3802.0,116.48200000000332,9.8,3.6,191.0,79.4,25.0,38.4
3850,5,6,3852.0,145.2820000000035,9.8,3.6,191.0,79.4,25.0,38.4
3900,5,6,3902.0,138.0820000000037,9.8,3.6,191.0,79.4,25.0,38.4
3950,5,6,3952.0,149.12200000000303,9.8,3.6,191.0,79.4,25.0,38.4
4000,7,6,2859.4285714285716,130.33571428571648,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4050,7,6,2909.4285714285716,136.4914285714311,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4100,7,6,2959.4285714285716,135.85714285714556,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4150,7,6,3009.4285714285716,142.2857142857171,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4200,7,6,3059.4285714285716,131.57142857143145,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4250,7,6,3109.4285714285716,137.0957142857155,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4300,7,6,3159.4285714285716,145.36428571428718,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4350,7,6,3209.4285714285716,143.3314285714298,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4400,7,6,3259.4285714285716,141.5457142857156,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4450,7,6,3309.4285714285716,143.32714285714476,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4500,7,6,3359.4285714285716,142.7285714285736,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4550,7,6,3409.4285714285716,141.99857142857368,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4600,7,6,3459.4285714285716,141.53285714285954,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4650,7,6,3509.4285714285716,155.29428571428826,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4700,7,6,3559.4285714285716,156.08000000000274,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4750,7,6,3609.4285714285716,159.5271428571441,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4800,7,6,3659.4285714285716,162.72428571428708,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4850,7,6,3709.4285714285716,169.35428571428716,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4900,7,6,3759.4285714285716,174.0757142857153,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
4950,7,6,3809.4285714285716,165.9842857142869,9.857142857142858,3.7142857142857135,190.85714285714286,79.0,24.285714285714285,38.57142857142857
5000,8,6,3377.375,160.3412500000009,9.75,3.75,188.25,74.625,25.75,37.75
5050,8,6,3427.375,161.93875000000085,9.75,3.75,188.25,74.625,25.75,37.75
5100,8,6,3477.375,163.40500000000108,9.75,3.75,188.25,74.625,25.75,37.75
5150,8,6,3527.375,160.19250000000127,9.75,3.75,188.25,74.625,25.75,37.75
5200,8,6,3577.375,155.80250000000143,9.75,3.75,188.25,74.625,25.75,37.75
5250,8,6,3627.375,156.03750000000161,9.75,3.75,188.25,74.625,25.75,37.75
5300,8,6,3677.375,155.69875000000167,9.75,3.75,188.25,74.625,25.75,37.75
5350,8,6,3727.375,153.5962500000017,9.75,3.75,188.25,74.625,25.75,37.75
5400,8,6,3777.375,157.47750000000178,9.75,3.75,188.25,74.625,25.75,37.75
5450,8,6,3827.375,150.22125000000142,9.75,3.75,188.25,74.625,25.75,37.75
5500,8,6,3877.375,143.59625000000148,9.75,3.75,188.25,74.625,25.75,37.75
5550,8,6,3927.375,138.72000000000202,9.75,3.75,188.25,74.625,25.75,37.75
5600,8,6,3977.375,134.4187500000021,9.75,3.75,188.25,74.625,25.75,37.75
5650,8,6,4027.375,146.17375000000212,9.75,3.75,188.25,74.625,25.75,37.75
5700,8,6,4077.375,149.01625000000212,9.75,3.75,188.25,74.625,25.75,37.75
5750,8,6,4127.375,141.7162500000021,9.75,3.75,188.25,74.625,25.75,37.75
5800,8,6,4177.375,135.2625000000022,9.75,3.75,188.25,74.625,25.75,37.75
5850,8,6,4227.375,134.56500000000221,9.75,3.75,188.25,74.625,25.75,37.75
5900,8,6,4277.375,120.9500000000023,9.75,3.75,188.25,74.625,25.75,37.75
5950,8,6,4327.375,109.95000000000245,9.75,3.75,188.25,74.625,25.75,37.75
6000,13,6,2695.076923076923,100.01384615384771,9.615384615384617,3.7692307692307687,184.0,71.84615384615384,26.69230769230769,36.846153846153854
6050,13,6,2745.076923076923,96.88769230769398,9.615384615384617,3.7692307692307687,184.0,71.84615384615384,26.69230769230769,36.846153846153854
6100,13,6,2795.0769230769233,97.01538461538635,9.615384615384617,3.7692307692307687,184.0,71.84615384615384,26.69230769230769,36.846153846153854
6150,13,6,2845.0769230769233,92.66769230769384,9.615384615384617,3.7692307692307687,184.0,71.84615384615384,26.69230769230769,36.846153846153854
6200,12,7,2619.5,101.8841666666681,9.666666666666666,3.75,185.16666666666663,74.16666666666667,26.41666666666667,37.25
6250,11,8,2707.3636363636365,112.1545454545461,9.727272727272727,3.727272727272727,186.54545454545453,76.9090909090909,26.09090909090909,37.72727272727273
6300,11,8,2757.3636363636365,108.9909090909096,9.727272727272727,3.727272727272727,186.54545454545453,76.9090909090909,26.09090909090909,37.72727272727273
6350,10,9,2952.8,115.63399999999996,9.8,3.7,188.2,80.2,25.1,38.3
6400,8,11,2902.75,147.35125000000005,10.0,3.75,179.625,83.25,24.5,38.25
6450,8,11,2952.75,145.67625000000004,10.0,3.75,179.625,83.25,24.5,38.25
6500,8,11,3002.75,139.96374999999955,10.0,3.75,179.625,83.25,24.5,38.25
6550,8,11,3052.75,133.0137499999996,10.0,3.75,179.625,83.25,24.5,38.25
6600,8,11,3102.75,131.08249999999978,10.0,3.75,179.625,83.25,24.5,38.25
6650,8,11,3152.75,132.07750000000058,10.0,3.75,179.625,83.25,24.5,38.25
6700,8,11,3202.75,130.42125000000038,10.0,3.75,179.625,83.25,24.5,38.25
6750,8,11,3252.75,117.70125000000051,10.0,3.75,179.625,83.25,24.5,38.25
6800,8,11,3302.75,111.72625000000065,10.0,3.75,179.625,83.25,24.5,38.25
6850,7,12,3709.857142857143,135.50285714285783,10.285714285714286,3.8571428571428568,180.0,86.0,23.857142857142854,39.0
6900,7,12,3759.857142857143,163.66714285714266,10.285714285714286,3.8571428571428568,180.0,86.0,23.857142857142854,39.0
6950,7,12,3809.857142857143,165.1614285714285,10.285714285714286,3.8571428571428568,180.0,86.0,23.857142857142854,39.0
7000,9,12,3002.777777777778,143.4277777777778,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7050,9,12,3052.777777777778,136.3611111111112,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7100,9,12,3102.777777777778,135.76444444444476,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7150,9,12,3152.777777777778,141.18333333333382,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7200,9,12,3202.777777777778,132.9611111111117,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7250,9,12,3252.777777777778,139.87777777777833,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7300,9,12,3302.777777777778,140.9777777777784,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7350,9,12,3352.777777777778,144.44000000000068,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7400,9,12,3402.777777777778,142.0933333333341,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7450,9,12,3452.777777777778,154.24555555555628,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7500,9,12,3502.777777777778,146.72777777777858,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7550,9,12,3552.777777777778,144.87777777777825,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7600,9,12,3602.777777777778,135.90444444444495,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7650,9,12,3652.777777777778,137.67333333333394,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7700,9,12,3702.777777777778,149.5711111111114,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7750,9,12,3752.777777777778,153.12444444444478,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7800,9,12,3802.777777777778,150.81333333333353,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7850,9,12,3852.777777777778,148.75111111111133,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7900,9,12,3902.777777777778,158.42444444444448,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
7950,9,12,3952.777777777778,156.23888888888925,10.0,3.888888888888889,177.0,87.33333333333331,23.777777777777782,38.66666666666666
8000,12,12,3003.0,140.85500000000022,9.916666666666666,3.8333333333333335,169.25,84.0,26.08333333333333,37.41666666666666
8050,12,12,3053.0,141.53416666666715,9.916666666666666,3.8333333333333335,169.25,84.0,26.08333333333333,37.41666666666666
8100,12,12,3103.0,141.79500000000044,9.916666666666666,3.8333333333333335,169.25,84.0,26.08333333333333,37.41666666666666
8150,12,12,3153.0,143.58666666666716,9.916666666666666,3.8333333333333335,169.25,84.0,26.08333333333333,37.41666666666666
8200,12,12,3203.0,144.18083333333428,9.916666666666666,3.8333333333333335,169.25,84.0,26.08333333333333,37.41666666666666
8250,12,12,3253.0,152.83416666666764,9.916666666666666,3.8333333333333335,169.25,84.0,26.08333333333333,37.41666666666666
8300,12,12,3303.0,155.7833333333344,9.916666666666666,3.8333333333333335,169.25,84.0,26.08333333333333,37.41666666666666
8350,11,13,3625.727272727273,174.7718181818193,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8400,11,13,3675.727272727273,165.71454545454677,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8450,11,13,3725.727272727273,162.87000000000143,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8500,11,13,3775.727272727273,176.0027272727287,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8550,11,13,3825.727272727273,166.7154545454559,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8600,11,13,3875.727272727273,172.59000000000034,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8650,11,13,3925.727272727273,179.46363636363685,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8700,11,13,3975.727272727273,171.9436363636369,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8750,11,13,4025.727272727273,170.4154545454551,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8800,11,13,4075.727272727273,170.02909090909142,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8850,11,13,4125.727272727273,175.82090909090905,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8900,11,13,4175.727272727273,177.9318181818179,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
8950,11,13,4225.727272727273,179.58545454545433,9.909090909090908,3.9090909090909087,168.54545454545453,85.81818181818181,25.272727272727273,37.63636363636363
9000,12,13,3919.833333333334,166.9491666666665,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9050,12,13,3969.833333333334,160.83583333333326,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9100,12,13,4019.833333333334,149.98749999999995,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9150,12,13,4069.833333333334,147.77583333333334,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9200,12,13,4119.833333333333,145.55166666666662,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9250,12,13,4169.833333333333,148.0208333333336,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9300,12,13,4219.833333333333,138.33166666666693,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9350,12,13,4269.833333333333,138.25750000000022,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9400,12,13,4319.833333333333,133.28083333333356,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9450,12,13,4369.833333333333,145.98416666666697,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9500,12,13,4419.833333333333,150.13166666666675,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9550,12,13,4469.833333333333,149.94000000000025,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9600,12,13,4519.833333333333,141.15833333333362,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9650,12,13,4569.833333333333,142.0350000000004,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9700,12,13,4619.833333333333,143.85583333333366,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9750,12,13,4669.833333333333,152.40333333333342,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9800,12,13,4719.833333333333,153.73916666666662,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9850,12,13,4769.833333333333,156.82666666666668,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9900,12,13,4819.833333333333,153.66750000000005,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
9950,12,13,4869.833333333333,146.95666666666668,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
10000,14,13,4217.5,138.94071428571445,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10050,14,13,4267.5,133.94428571428585,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10100,14,13,4317.5,136.3950000000003,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10150,14,13,4367.5,139.3714285714289,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10200,14,13,4417.5,139.44071428571468,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10250,14,13,4467.5,146.01428571428576,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10300,14,13,4517.5,144.962142857143,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10350,14,13,4567.5,147.42500000000047,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10400,14,13,4617.5,145.72214285714344,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10450,14,13,4667.5,147.13357142857177,9.857142857142858,3.8571428571428568,165.92857142857142,83.28571428571429,26.357142857142854,37.0
10500,13,14,5041.615384615385,150.54615384615462,9.76923076923077,3.8461538461538463,165.61538461538458,83.61538461538461,25.923076923076927,36.92307692307692
10550,13,14,5091.615384615385,154.14076923077005,9.76923076923077,3.8461538461538463,165.61538461538458,83.61538461538461,25.923076923076927,36.92307692307692
10600,13,14,5141.615384615385,155.78230769230845,9.76923076923077,3.8461538461538463,165.61538461538458,83.61538461538461,25.923076923076927,36.92307692307692
10650,13,14,5191.615384615385,162.27769230769275,9.76923076923077,3.8461538461538463,165.61538461538458,83.61538461538461,25.923076923076927,36.92307692307692
10700,13,14,5241.615384615385,162.6069230769236,9.76923076923077,3.8461538461538463,165.61538461538458,83.61538461538461,25.923076923076927,36.92307692307692
10750,13,14,5291.615384615385,152.38846153846208,9.76923076923077,3.8461538461538463,165.61538461538458,83.61538461538461,25.923076923076927,36.92307692307692
10800,12,15,5719.833333333332,161.38750000000027,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
10850,12,15,5769.833333333332,152.60166666666694,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
10900,12,15,5819.833333333332,153.20583333333354,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
10950,12,15,5869.833333333332,144.19750000000028,9.75,3.9166666666666665,164.66666666666666,85.25,25.66666666666667,37.083333333333336
11000,14,15,5074.571428571428,133.85285714285743,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11050,14,15,5124.571428571428,136.86714285714316,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11100,14,15,5174.571428571428,140.96785714285753,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11150,14,15,5224.571428571428,143.95285714285708,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11200,14,15,5274.571428571428,143.10714285714286,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11250,14,15,5324.571428571428,146.75571428571422,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11300,14,15,5374.571428571428,150.74857142857178,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11350,14,15,5424.571428571428,151.86214285714328,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11400,14,15,5474.571428571428,147.68357142857192,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11450,14,15,5524.571428571428,150.1435714285721,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11500,14,15,5574.571428571428,155.6542857142861,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11550,14,15,5624.571428571428,158.62500000000043,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11600,14,15,5674.571428571428,156.20071428571484,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11650,14,15,5724.571428571428,160.5078571428569,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11700,14,15,5774.571428571428,159.7007142857139,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11750,14,15,5824.571428571428,154.77499999999966,10.071428571428571,3.8571428571428568,162.5,83.28571428571429,25.785714285714285,36.92857142857143
11800,13,16,5957.0,172.0946153846151,10.23076923076923,3.8461538461538463,165.61538461538458,83.61538461538461,25.30769230769231,37.384615384615394
11850,13,16,6007.0,181.7392307692307,10.23076923076923,3.8461538461538463,165.61538461538458,83.61538461538461,25.30769230769231,37.384615384615394
11900,13,16,6057.0,179.28846153846158,10.23076923076923,3.8461538461538463,165.61538461538458,83.61538461538461,25.30769230769231,37.384615384615394
11950,13,16,6107.0,178.15846153846152,10.23076923076923,3.8461538461538463,165.61538461538458,83.61538461538461,25.30769230769231,37.384615384615394
