Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens,Ancestors
19000,19,22,3476.0,144.25088235294103,10.0,3.882352941176471,153.05882352941177,119.11764705882355,27.705882352941174,58.67647058823529,3.4117647058823533,"[16003, 8004, 6005, 6004, 4006, 4005, 4005, 3006, 3005, 2005, 1007, 1006, 1004, 8, 7, 6, 6]","[1, 2, 3, 2, 4, 3, 3, 4, 3, 3, 5, 4, 2, 6, 5, 4, 4]","[[([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 151, 120, 25], 2)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 23], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 37], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 23], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 151, 130, 33], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 36], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 168, 120, 23], 2)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 131, 113, 33], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([9, 3, 151, 120, 24], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 151, 114, 33], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([10, 3, 151, 120, 24], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 151, 120, 25], 2), ([10, 3, 151, 120, 25], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 168, 120, 23], 2), ([10, 4, 168, 120, 24], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 151, 120, 23], 2)]]"
20000,19,22,3531.578947368421,139.48473684210526,9.947368421052632,3.7894736842105265,153.8421052631579,118.73684210526315,26.894736842105264,57.10526315789475,3.263157894736842,"[17003, 9004, 7004, 5006, 5005, 5005, 4006, 4005, 3005, 2007, 2006, 2004, 1007, 1006, 7, 6, 5, 5, 4]","[1, 2, 2, 4, 3, 3, 4, 3, 3, 5, 4, 2, 5, 4, 5, 4, 3, 3, 2]",[]
21000,20,26,3755.5,132.20675000000003,9.9,3.75,155.45,118.3,25.85,55.95,3.5,"[18003, 10004, 8004, 6006, 6005, 6005, 5005, 4005, 3007, 3006, 2006, 1007, 1006, 1005, 1004, 8, 7, 6, 6, 5]","[1, 2, 2, 4, 3, 3, 3, 3, 5, 4, 4, 5, 4, 3, 2, 6, 5, 4, 4, 3]",[]
22000,18,30,4672.055555555556,143.96972222222192,9.833333333333334,3.7777777777777777,154.38888888888889,118.83333333333331,24.61111111111111,55.25,3.388888888888889,"[19003, 11004, 9004, 7005, 7005, 6005, 5005, 4007, 4006, 3006, 2006, 2005, 2004, 1008, 1007, 1006, 7, 4]","[1, 2, 2, 3, 3, 3, 3, 5, 4, 4, 4, 3, 2, 6, 5, 4, 5, 2]",[]
23000,15,34,5272.2,167.02433333333303,9.8,3.8,152.6,118.6,25.2,55.9,3.533333333333333,"[20003, 10004, 8005, 8005, 7005, 5007, 5006, 4006, 3006, 3004, 2008, 2007, 1007, 1004, 6]","[1, 2, 3, 3, 3, 5, 4, 4, 4, 2, 6, 5, 5, 2, 4]",[]
24000,17,36,5240.941176470587,141.7447058823531,9.529411764705884,3.8235294117647056,153.0,119.64705882352942,25.411764705882355,54.67647058823529,3.647058823529412,"[21003, 11004, 9005, 9005, 8005, 6007, 6006, 5006, 4004, 3008, 3007, 2007, 2004, 8, 6, 6, 5]","[1, 2, 3, 3, 3, 5, 4, 4, 2, 6, 5, 5, 2, 6, 4, 4, 3]",[]
25000,18,37,5505.777777777777,139.6655555555557,9.5,3.7777777777777777,153.44444444444446,119.66666666666669,24.555555555555557,53.63888888888889,3.7777777777777777,"[22003, 12004, 10005, 10005, 9005, 7007, 6006, 5004, 4008, 4007, 3007, 3004, 1008, 1006, 1006, 1005, 8, 6]","[1, 2, 3, 3, 3, 5, 4, 2, 6, 5, 5, 2, 6, 4, 4, 3, 6, 4]",[]
26000,15,43,4339.066666666667,147.6926666666666,9.733333333333333,3.8,153.26666666666668,121.2,24.13333333333333,54.7,3.733333333333333,"[11005, 11005, 10005, 8007, 7006, 6004, 4004, 2008, 2006, 2006, 1008, 1006, 6, 5, 5]","[3, 3, 3, 5, 4, 2, 2, 6, 4, 4, 6, 4, 4, 3, 3]",[]
27000,15,45,5205.866666666667,144.6470000000001,9.733333333333333,3.8,153.93333333333334,120.8,24.4,54.83333333333334,3.8666666666666663,"[12005, 12005, 11005, 9007, 8006, 7004, 5004, 3008, 3006, 3006, 2008, 2006, 1006, 7, 5]","[3, 3, 3, 5, 4, 2, 2, 6, 4, 4, 6, 4, 4, 5, 3]",[]
28000,16,48,4881.3125,139.59281249999995,9.6875,3.75,153.375,121.625,25.5,54.75,4.3125,"[13005, 13005, 12005, 10007, 9006, 4008, 4006, 4006, 3008, 3006, 2006, 1005, 9, 7, 6, 6]","[3, 3, 3, 5, 4, 6, 4, 4, 6, 4, 4, 3, 7, 5, 4, 4]",[]
