Step,Living Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss
3200,6,1869.5,118.80999432756435,9.0,3.5,113.66666666666669,95.5,26.66666666666667,35.26474287801997
3250,6,1919.5,116.0301804171657,9.0,3.5,113.66666666666669,95.5,26.66666666666667,35.26474287801997
3300,6,1969.5,120.60515464328482,9.0,3.5,113.66666666666669,95.5,26.66666666666667,35.26474287801997
3350,6,2019.5,121.79285361982649,9.0,3.5,113.66666666666669,95.5,26.66666666666667,35.26474287801997
3400,5,2202.6,144.38701694471345,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3450,5,2252.6,154.14817876501752,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3500,5,2302.6,149.54058616409532,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3550,5,2352.6,148.26661709275214,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3600,5,2402.6,137.2302866452205,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3650,5,2452.6,144.4009407333605,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3700,5,2502.6,149.5544405483122,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3750,5,2552.6,146.47607917212358,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3800,5,2602.6,139.62579474747994,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3850,5,2652.6,126.29079511757622,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3900,5,2702.6,142.240195339634,9.2,3.4,125.2,96.4,25.8,36.31769145362398
3950,5,2752.6,144.72229567272066,9.2,3.4,125.2,96.4,25.8,36.31769145362398
4000,6,2336.1666666666665,141.6402658785512,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4050,6,2386.1666666666665,148.45329115896985,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4100,6,2436.1666666666665,148.14471451583745,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4150,6,2486.1666666666665,149.14738525119083,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4200,6,2536.1666666666665,150.65371241862618,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4250,6,2586.1666666666665,148.43271278872243,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4300,6,2636.1666666666665,142.59707214266734,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4350,6,2686.1666666666665,133.94835466843176,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4400,6,2736.1666666666665,135.29963719419618,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4450,6,2786.166666666666,126.80677790193424,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4500,6,2836.166666666666,131.25244493869718,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4550,6,2886.166666666666,130.1574895803683,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4600,6,2936.166666666666,133.36768072557928,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4650,6,2986.166666666666,136.61779011036543,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4700,6,3036.166666666666,142.09275804722063,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4750,6,3086.166666666666,137.31202121173314,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4800,6,3136.166666666666,134.60502762436195,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4850,6,3186.166666666666,130.12441904145086,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4900,6,3236.166666666666,128.395970650895,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
4950,6,3286.166666666666,122.89391984332606,9.333333333333334,3.333333333333333,135.83333333333334,96.83333333333331,25.0,37.29743494847109
5000,8,2503.125,103.47042101470429,9.375,3.375,126.0,96.375,25.25,36.497595264191645
5050,7,2196.1428571428573,112.64042672298149,9.428571428571429,3.2857142857142856,136.0,97.14285714285714,24.42857142857143,37.28296601621903
5100,7,2246.1428571428573,113.99894371487196,9.428571428571429,3.2857142857142856,136.0,97.14285714285714,24.42857142857143,37.28296601621903
5150,7,2296.142857142857,117.59746070676228,9.428571428571429,3.2857142857142856,136.0,97.14285714285714,24.42857142857143,37.28296601621903
5200,6,2536.5,139.8398565805966,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5250,6,2586.5,151.37928006082973,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5300,6,2636.5,154.13410087731899,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5350,6,2686.5,148.13706203144946,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5400,6,2736.5,145.3610686908091,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5450,6,2786.5,148.85111394930712,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5500,6,2836.5,151.92730657490276,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5550,6,2886.5,153.41959501983422,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5600,6,2936.5,149.88473646776458,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5650,6,2986.5,150.02158922403268,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5700,6,3036.5,157.7765829347693,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5750,6,3086.5,149.6778654605334,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5800,6,3136.5,142.13914798629787,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5850,6,3186.5,147.24043051206237,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5900,6,3236.5,145.67504637116022,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
5950,6,3286.5,134.1096622302581,9.333333333333334,3.333333333333333,127.16666666666669,96.83333333333331,25.0,36.46410161513776
6000,7,2860.4285714285716,123.47223836230505,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6050,7,2910.4285714285716,119.84476624153179,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6100,7,2960.4285714285716,121.93157983504429,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6150,7,3010.4285714285716,122.30796934912055,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6200,7,3060.4285714285716,128.78708778804742,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6250,7,3110.4285714285716,122.59223624747126,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6300,7,3160.4285714285716,118.49485735637722,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6350,7,3210.4285714285716,128.32151144451714,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6400,7,3260.4285714285716,130.36037979193594,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6450,7,3310.4285714285716,137.37174261638071,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6500,7,3360.4285714285716,136.31484551736497,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6550,7,3410.4285714285716,130.06301062501822,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6600,7,3460.4285714285716,118.60803298127044,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6650,7,3510.4285714285716,121.98241784474152,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6700,7,3560.4285714285716,116.87937424252588,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6750,7,3610.4285714285716,112.94535257359531,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6800,7,3660.4285714285716,110.60545172278069,9.285714285714286,3.4285714285714284,117.57142857142857,96.0,25.857142857142854,35.82637281297521
6850,6,3186.833333333333,134.43487988716944,9.5,3.5,114.5,97.66666666666669,26.0,36.09807621135332
6900,6,3236.833333333333,141.49025835563538,9.5,3.5,114.5,97.66666666666669,26.0,36.09807621135332
6950,6,3286.833333333333,146.77455358329203,9.5,3.5,114.5,97.66666666666669,26.0,36.09807621135332
7000,8,2503.875,130.77566527999304,9.375,3.625,101.625,98.0,27.25,35.198557158514994
7050,8,2553.875,132.46619811357812,9.375,3.625,101.625,98.0,27.25,35.198557158514994
7100,8,2603.875,126.44927525017216,9.375,3.625,101.625,98.0,27.25,35.198557158514994
7150,8,2653.875,121.27627543522031,9.375,3.625,101.625,98.0,27.25,35.198557158514994
7200,8,2703.875,117.21092462136455,9.375,3.625,101.625,98.0,27.25,35.198557158514994
7250,8,2753.875,131.89836709275346,9.375,3.625,101.625,98.0,27.25,35.198557158514994
7300,7,3018.142857142857,145.5435296239675,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7350,7,3068.142857142857,149.67413424325645,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7400,7,3118.142857142857,153.0561124685843,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7450,7,3168.142857142857,169.21250198265983,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7500,7,3218.142857142857,169.91770540747342,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7550,7,3268.142857142857,167.5441617259515,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7600,7,3318.142857142857,172.4878433496556,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7650,7,3368.142857142857,165.66723925907556,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7700,7,3418.142857142857,171.06475017284725,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7750,7,3468.142857142857,162.41342614140126,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7800,7,3518.142857142857,170.74212367314408,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7850,7,3568.142857142857,168.2735689456733,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7900,7,3618.142857142857,165.68153628366474,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
7950,7,3668.142857142857,163.7000085630507,9.428571428571429,3.571428571428572,107.57142857142857,99.0,26.714285714285715,35.6554938954457
8000,9,2892.888888888889,143.3809341892995,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8050,9,2942.888888888889,158.6325327424449,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8100,9,2992.888888888889,158.0711269793824,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8150,9,3042.888888888889,152.0374776186681,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8200,9,3092.888888888889,156.32591803475754,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8250,9,3142.888888888889,169.3976528149453,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8300,9,3192.888888888889,176.11776561046986,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8350,9,3242.888888888889,170.4308726109811,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8400,9,3292.888888888889,169.68718428103247,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8450,9,3342.888888888889,162.97692818709749,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8500,9,3392.888888888889,170.2010859540573,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8550,9,3442.888888888889,165.57295359088212,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8600,9,3492.888888888889,163.36808204906768,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8650,9,3542.888888888889,158.8806932218614,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8700,9,3592.888888888889,159.75437694775,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8750,9,3642.888888888889,163.61718049940797,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8800,9,3692.888888888889,164.19793283227958,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8850,9,3742.888888888889,154.55145015879296,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8900,9,3792.888888888889,155.47209142167497,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
8950,9,3842.888888888889,158.11407769173783,9.444444444444443,3.555555555555556,107.11111111111113,99.88888888888887,26.555555555555557,35.642734410091826
9000,11,3185.909090909091,149.1022420209321,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9050,11,3235.909090909091,146.89873527767526,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9100,11,3285.909090909091,145.1799728923925,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9150,11,3335.909090909091,143.80292409145247,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9200,11,3385.909090909091,143.63221457687382,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9250,11,3435.909090909091,143.75549086923436,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9300,11,3485.909090909091,143.1402005856838,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9350,11,3535.909090909091,139.65655393052543,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9400,11,3585.909090909091,143.46426045198314,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9450,11,3635.909090909091,146.56919066425738,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9500,11,3685.909090909091,147.98677375344838,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9550,11,3735.909090909091,149.7876866113158,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9600,11,3785.909090909091,153.6678964791681,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9650,11,3835.909090909091,156.72817563006902,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9700,11,3885.909090909091,147.64161275382622,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9750,11,3935.909090909091,139.90671718307536,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9800,11,3985.909090909091,145.89035354671168,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9850,11,4035.909090909091,153.0897832711328,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9900,11,4085.909090909091,150.88111552825382,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
9950,11,4135.909090909091,153.1602170653176,9.454545454545457,3.5454545454545454,109.8181818181818,100.45454545454544,26.363636363636363,35.907342010321194
10000,13,3542.8461538461543,138.48342047310936,9.384615384615383,3.615384615384616,103.76923076923076,101.46153846153848,27.07692307692308,35.53698170104101
10050,13,3592.8461538461543,145.32845601767642,9.384615384615383,3.615384615384616,103.76923076923076,101.46153846153848,27.07692307692308,35.53698170104101
10100,13,3642.8461538461543,148.85241185030603,9.384615384615383,3.615384615384616,103.76923076923076,101.46153846153848,27.07692307692308,35.53698170104101
10150,13,3692.8461538461543,143.62962480454982,9.384615384615383,3.615384615384616,103.76923076923076,101.46153846153848,27.07692307692308,35.53698170104101
10200,13,3742.8461538461543,128.08484692250747,9.384615384615383,3.615384615384616,103.76923076923076,101.46153846153848,27.07692307692308,35.53698170104101
10250,13,3792.8461538461543,125.66404837967899,9.384615384615383,3.615384615384616,103.76923076923076,101.46153846153848,27.07692307692308,35.53698170104101
10300,13,3842.8461538461543,131.42017291377385,9.384615384615383,3.615384615384616,103.76923076923076,101.46153846153848,27.07692307692308,35.53698170104101
10350,12,3604.416666666666,141.25103323511524,9.416666666666666,3.583333333333333,107.75,101.0,26.75,35.831730176127756
10400,12,3654.416666666666,141.5039789745015,9.416666666666666,3.583333333333333,107.75,101.0,26.75,35.831730176127756
10450,12,3704.416666666666,139.60982205014352,9.416666666666666,3.583333333333333,107.75,101.0,26.75,35.831730176127756
10500,12,3754.416666666666,134.01448507871694,9.416666666666666,3.583333333333333,107.75,101.0,26.75,35.831730176127756
10550,11,3645.4545454545455,144.8921902268721,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10600,11,3695.4545454545455,132.00358557892926,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10650,11,3745.4545454545455,127.98432011641232,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10700,11,3795.4545454545455,130.51428547488806,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10750,11,3845.4545454545455,136.82429267235386,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10800,11,3895.4545454545455,148.79581011087424,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10850,11,3945.4545454545455,145.86694312811633,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10900,11,3995.4545454545455,151.97461810210595,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
10950,11,4045.4545454545455,155.70485164705843,9.454545454545457,3.5454545454545454,112.45454545454544,101.9090909090909,26.363636363636363,36.27097837395756
11000,13,3466.1538461538457,144.0206290453277,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11050,13,3516.1538461538457,143.28157904401363,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11100,13,3566.1538461538457,144.4410674757696,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11150,13,3616.1538461538457,143.1040854900391,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11200,13,3666.1538461538457,139.0091390204066,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11250,13,3716.1538461538457,146.05722479403929,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11300,13,3766.1538461538457,143.8461920952716,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11350,13,3816.1538461538457,141.9160464448881,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11400,13,3866.1538461538457,140.3346472588809,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11450,13,3916.1538461538457,149.0867332602649,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
11500,13,3966.1538461538457,143.88486371370956,9.461538461538463,3.5384615384615383,116.76923076923076,102.07692307692308,26.30769230769231,36.70591650278767
