Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens
0,10,0,2.0,97.429,9.8,2.8,208.6,72.0,26.3,57.1,0.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,10,0,52.0,93.87900000000003,9.8,2.8,208.6,72.0,26.3,57.1,0.0,"[52, 52, 52, 52, 52, 52, 52, 52, 52, 52]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,10,0,102.0,97.8290000000001,9.8,2.8,208.6,72.0,26.3,57.1,0.0,"[102, 102, 102, 102, 102, 102, 102, 102, 102, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
150,10,0,152.0,91.12300000000008,9.8,2.8,208.6,72.0,26.3,57.1,0.0,"[152, 152, 152, 152, 152, 152, 152, 152, 152, 152]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
200,10,0,202.0,85.07300000000019,9.8,2.8,208.6,72.0,26.3,57.1,0.0,"[202, 202, 202, 202, 202, 202, 202, 202, 202, 202]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
250,8,2,252.0,115.20750000000021,10.0,3.0,219.0,78.25,26.25,59.25,0.0,"[252, 252, 252, 252, 252, 252, 252, 252]","[0, 0, 0, 0, 0, 0, 0, 0]"
300,8,2,302.0,115.78250000000021,10.0,3.0,219.0,78.25,26.25,59.25,0.0,"[302, 302, 302, 302, 302, 302, 302, 302]","[0, 0, 0, 0, 0, 0, 0, 0]"
350,7,3,352.0,143.57571428571433,10.0,3.2857142857142856,227.14285714285717,78.85714285714286,25.0,60.14285714285714,0.0,"[352, 352, 352, 352, 352, 352, 352]","[0, 0, 0, 0, 0, 0, 0]"
400,7,3,402.0,145.87571428571428,10.0,3.2857142857142856,227.14285714285717,78.85714285714286,25.0,60.14285714285714,0.0,"[402, 402, 402, 402, 402, 402, 402]","[0, 0, 0, 0, 0, 0, 0]"
450,7,3,452.0,149.07285714285757,10.0,3.2857142857142856,227.14285714285717,78.85714285714286,25.0,60.14285714285714,0.0,"[452, 452, 452, 452, 452, 452, 452]","[0, 0, 0, 0, 0, 0, 0]"
500,11,3,320.54545454545456,126.72272727272751,10.0,3.363636363636364,217.27272727272728,81.18181818181819,25.09090909090909,60.0,0.3636363636363637,"[502, 502, 502, 502, 502, 502, 502, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
550,11,3,370.54545454545456,123.7590909090912,10.0,3.363636363636364,217.27272727272728,81.18181818181819,25.09090909090909,60.0,0.3636363636363637,"[552, 552, 552, 552, 552, 552, 552, 53, 53, 53, 53]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
600,11,3,420.54545454545456,121.8972727272731,10.0,3.363636363636364,217.27272727272728,81.18181818181819,25.09090909090909,60.0,0.3636363636363637,"[602, 602, 602, 602, 602, 602, 602, 103, 103, 103, 103]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
650,10,4,502.3,124.33300000000055,10.2,3.4,209.4,83.8,25.3,60.2,0.3,"[652, 652, 652, 652, 652, 652, 652, 153, 153, 153]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
700,10,4,552.3,105.23400000000065,10.2,3.4,209.4,83.8,25.3,60.2,0.3,"[702, 702, 702, 702, 702, 702, 702, 203, 203, 203]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
750,8,6,564.875,117.656250000001,10.75,3.5,225.0,86.625,25.375,62.75,0.375,"[752, 752, 752, 752, 752, 253, 253, 253]","[0, 0, 0, 0, 0, 1, 1, 1]"
800,8,6,614.875,113.91750000000113,10.75,3.5,225.0,86.625,25.375,62.75,0.375,"[802, 802, 802, 802, 802, 303, 303, 303]","[0, 0, 0, 0, 0, 1, 1, 1]"
850,7,7,638.1428571428571,129.34571428571502,10.571428571428571,3.7142857142857135,217.57142857142856,85.42857142857143,26.57142857142857,63.14285714285714,0.42857142857142855,"[852, 852, 852, 852, 353, 353, 353]","[0, 0, 0, 0, 1, 1, 1]"
900,7,7,688.1428571428571,145.15142857142925,10.571428571428571,3.7142857142857135,217.57142857142856,85.42857142857143,26.57142857142857,63.14285714285714,0.42857142857142855,"[902, 902, 902, 902, 403, 403, 403]","[0, 0, 0, 0, 1, 1, 1]"
950,7,7,738.1428571428571,156.40285714285784,10.571428571428571,3.7142857142857135,217.57142857142856,85.42857142857143,26.57142857142857,63.14285714285714,0.42857142857142855,"[952, 952, 952, 952, 453, 453, 453]","[0, 0, 0, 0, 1, 1, 1]"
1000,9,7,613.7777777777778,153.15111111111156,10.666666666666666,3.7777777777777777,209.0,86.77777777777777,26.555555555555557,62.88888888888889,0.6666666666666666,"[1002, 1002, 1002, 1002, 503, 503, 503, 4, 3]","[0, 0, 0, 0, 1, 1, 1, 2, 1]"
1050,9,7,663.7777777777778,142.13777777777815,10.666666666666666,3.7777777777777777,209.0,86.77777777777777,26.555555555555557,62.88888888888889,0.6666666666666666,"[1052, 1052, 1052, 1052, 553, 553, 553, 54, 53]","[0, 0, 0, 0, 1, 1, 1, 2, 1]"
1100,9,7,713.7777777777777,129.27555555555602,10.666666666666666,3.7777777777777777,209.0,86.77777777777777,26.555555555555557,62.88888888888889,0.6666666666666666,"[1102, 1102, 1102, 1102, 603, 603, 603, 104, 103]","[0, 0, 0, 0, 1, 1, 1, 2, 1]"
1150,9,7,763.7777777777777,142.47111111111153,10.666666666666666,3.7777777777777777,209.0,86.77777777777777,26.555555555555557,62.88888888888889,0.6666666666666666,"[1152, 1152, 1152, 1152, 653, 653, 653, 154, 153]","[0, 0, 0, 0, 1, 1, 1, 2, 1]"
1200,9,7,813.7777777777777,136.8000000000004,10.666666666666666,3.7777777777777777,209.0,86.77777777777777,26.555555555555557,62.88888888888889,0.6666666666666666,"[1202, 1202, 1202, 1202, 703, 703, 703, 204, 203]","[0, 0, 0, 0, 1, 1, 1, 2, 1]"
1250,9,7,863.7777777777777,136.2622222222225,10.666666666666666,3.7777777777777777,209.0,86.77777777777777,26.555555555555557,62.88888888888889,0.6666666666666666,"[1252, 1252, 1252, 1252, 753, 753, 753, 254, 253]","[0, 0, 0, 0, 1, 1, 1, 2, 1]"
1300,8,8,865.25,154.36375000000018,10.5,3.75,198.625,88.0,26.125,61.75,0.75,"[1302, 1302, 1302, 803, 803, 803, 304, 303]","[0, 0, 0, 1, 1, 1, 2, 1]"
1350,8,8,915.25,156.8837500000001,10.5,3.75,198.625,88.0,26.125,61.75,0.75,"[1352, 1352, 1352, 853, 853, 853, 354, 353]","[0, 0, 0, 1, 1, 1, 2, 1]"
1400,8,8,965.25,146.71500000000026,10.5,3.75,198.625,88.0,26.125,61.75,0.75,"[1402, 1402, 1402, 903, 903, 903, 404, 403]","[0, 0, 0, 1, 1, 1, 2, 1]"
1450,8,8,1015.25,139.52750000000026,10.5,3.75,198.625,88.0,26.125,61.75,0.75,"[1452, 1452, 1452, 953, 953, 953, 454, 453]","[0, 0, 0, 1, 1, 1, 2, 1]"
1500,10,8,853.1,138.14600000000058,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1502, 1502, 1502, 1003, 1003, 1003, 504, 503, 5, 4]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1550,10,8,903.1,136.37000000000043,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1552, 1552, 1552, 1053, 1053, 1053, 554, 553, 55, 54]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1600,10,8,953.1,146.3760000000005,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1602, 1602, 1602, 1103, 1103, 1103, 604, 603, 105, 104]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1650,10,8,1003.1,155.88299999999987,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1652, 1652, 1652, 1153, 1153, 1153, 654, 653, 155, 154]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1700,10,8,1053.1,149.44699999999975,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1702, 1702, 1702, 1203, 1203, 1203, 704, 703, 205, 204]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
