Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens
1750,10,8,1103.1,150.66499999999976,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1752, 1752, 1752, 1253, 1253, 1253, 754, 753, 255, 254]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1800,10,8,1153.1,152.11899999999963,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1802, 1802, 1802, 1303, 1303, 1303, 804, 803, 305, 304]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1850,10,8,1203.1,140.94499999999962,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1852, 1852, 1852, 1353, 1353, 1353, 854, 853, 355, 354]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1900,10,8,1253.1,140.0389999999997,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1902, 1902, 1902, 1403, 1403, 1403, 904, 903, 405, 404]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
1950,10,8,1303.1,135.8899999999997,10.6,3.7,188.6,88.4,26.4,61.2,1.1,"[1952, 1952, 1952, 1453, 1453, 1453, 954, 953, 455, 454]","[0, 0, 0, 1, 1, 1, 2, 1, 3, 2]"
2000,13,9,964.9230769230768,145.38692307692287,10.769230769230768,3.8461538461538463,192.7692307692308,89.76923076923076,26.07692307692308,62.230769230769226,1.3846153846153846,"[2002, 2002, 2002, 1503, 1503, 1503, 1004, 505, 504, 5, 4, 4, 3]","[0, 0, 0, 1, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2050,13,9,1014.9230769230768,158.5023076923076,10.769230769230768,3.8461538461538463,192.7692307692308,89.76923076923076,26.07692307692308,62.230769230769226,1.3846153846153846,"[2052, 2052, 2052, 1553, 1553, 1553, 1054, 555, 554, 55, 54, 54, 53]","[0, 0, 0, 1, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2100,13,9,1064.923076923077,160.43461538461563,10.769230769230768,3.8461538461538463,192.7692307692308,89.76923076923076,26.07692307692308,62.230769230769226,1.3846153846153846,"[2102, 2102, 2102, 1603, 1603, 1603, 1104, 605, 604, 105, 104, 104, 103]","[0, 0, 0, 1, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2150,13,9,1114.923076923077,165.77076923076987,10.769230769230768,3.8461538461538463,192.7692307692308,89.76923076923076,26.07692307692308,62.230769230769226,1.3846153846153846,"[2152, 2152, 2152, 1653, 1653, 1653, 1154, 655, 654, 155, 154, 154, 153]","[0, 0, 0, 1, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2200,13,9,1164.923076923077,160.37307692307715,10.769230769230768,3.8461538461538463,192.7692307692308,89.76923076923076,26.07692307692308,62.230769230769226,1.3846153846153846,"[2202, 2202, 2202, 1703, 1703, 1703, 1204, 705, 704, 205, 204, 204, 203]","[0, 0, 0, 1, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2250,12,10,1170.0833333333333,164.4875000000003,11.0,3.9166666666666665,203.33333333333331,88.41666666666669,26.33333333333333,63.58333333333334,1.4166666666666667,"[2252, 2252, 2252, 1753, 1753, 1254, 755, 754, 255, 254, 254, 253]","[0, 0, 0, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2300,12,10,1220.0833333333333,162.4950000000002,11.0,3.9166666666666665,203.33333333333331,88.41666666666669,26.33333333333333,63.58333333333334,1.4166666666666667,"[2302, 2302, 2302, 1803, 1803, 1304, 805, 804, 305, 304, 304, 303]","[0, 0, 0, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2350,12,10,1270.0833333333333,163.45250000000019,11.0,3.9166666666666665,203.33333333333331,88.41666666666669,26.33333333333333,63.58333333333334,1.4166666666666667,"[2352, 2352, 2352, 1853, 1853, 1354, 855, 854, 355, 354, 354, 353]","[0, 0, 0, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2400,12,10,1320.0833333333333,189.54000000000005,11.0,3.9166666666666665,203.33333333333331,88.41666666666669,26.33333333333333,63.58333333333334,1.4166666666666667,"[2402, 2402, 2402, 1903, 1903, 1404, 905, 904, 405, 404, 404, 403]","[0, 0, 0, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2450,12,10,1370.0833333333333,186.1358333333338,11.0,3.9166666666666665,203.33333333333331,88.41666666666669,26.33333333333333,63.58333333333334,1.4166666666666667,"[2452, 2452, 2452, 1953, 1953, 1454, 955, 954, 455, 454, 454, 453]","[0, 0, 0, 1, 1, 2, 3, 2, 3, 2, 2, 1]"
2500,15,10,1137.1333333333334,168.24400000000014,11.2,3.933333333333333,199.0,86.46666666666668,27.13333333333333,63.8,1.8,"[2502, 2502, 2502, 2003, 2003, 1504, 1005, 1004, 505, 504, 504, 503, 6, 5, 5]","[0, 0, 0, 1, 1, 2, 3, 2, 3, 2, 2, 1, 4, 3, 3]"
2550,15,10,1187.1333333333334,149.60600000000005,11.2,3.933333333333333,199.0,86.46666666666668,27.13333333333333,63.8,1.8,"[2552, 2552, 2552, 2053, 2053, 1554, 1055, 1054, 555, 554, 554, 553, 56, 55, 55]","[0, 0, 0, 1, 1, 2, 3, 2, 3, 2, 2, 1, 4, 3, 3]"
2600,14,11,1175.2857142857142,152.33714285714277,11.285714285714285,3.928571428571429,197.0,85.07142857142857,27.42857142857143,63.78571428571429,1.8571428571428568,"[2602, 2602, 2602, 2103, 1604, 1105, 1104, 605, 604, 604, 603, 106, 105, 105]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 2, 1, 4, 3, 3]"
2650,14,11,1225.2857142857142,131.2457142857142,11.285714285714285,3.928571428571429,197.0,85.07142857142857,27.42857142857143,63.78571428571429,1.8571428571428568,"[2652, 2652, 2652, 2153, 1654, 1155, 1154, 655, 654, 654, 653, 156, 155, 155]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 2, 1, 4, 3, 3]"
2700,13,12,1319.2307692307693,131.36615384615362,11.384615384615385,3.9230769230769234,193.46153846153842,83.46153846153847,27.76923076923077,63.69230769230769,1.8461538461538465,"[2702, 2702, 2702, 2203, 1704, 1205, 1204, 705, 704, 703, 206, 205, 205]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4, 3, 3]"
2750,13,12,1369.2307692307693,123.846923076923,11.384615384615385,3.9230769230769234,193.46153846153842,83.46153846153847,27.76923076923077,63.69230769230769,1.8461538461538465,"[2752, 2752, 2752, 2253, 1754, 1255, 1254, 755, 754, 753, 256, 255, 255]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4, 3, 3]"
2800,12,13,1512.083333333333,120.07499999999996,11.166666666666664,3.9166666666666665,188.91666666666663,84.25,27.41666666666667,62.91666666666666,1.75,"[2802, 2802, 2802, 2303, 1804, 1305, 1304, 805, 804, 803, 306, 305]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4, 3]"
2850,12,13,1562.083333333333,117.3508333333333,11.166666666666664,3.9166666666666665,188.91666666666663,84.25,27.41666666666667,62.91666666666666,1.75,"[2852, 2852, 2852, 2353, 1854, 1355, 1354, 855, 854, 853, 356, 355]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4, 3]"
2900,11,14,1721.8181818181818,133.9327272727272,11.454545454545455,3.9090909090909087,200.0909090909091,83.9090909090909,27.818181818181817,64.36363636363636,1.6363636363636365,"[2902, 2902, 2902, 2403, 1904, 1405, 1404, 905, 904, 903, 406]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4]"
2950,11,14,1771.8181818181818,135.08545454545464,11.454545454545455,3.9090909090909087,200.0909090909091,83.9090909090909,27.818181818181817,64.36363636363636,1.6363636363636365,"[2952, 2952, 2952, 2453, 1954, 1455, 1454, 955, 954, 953, 456]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4]"
3000,12,14,1670.583333333333,128.75000000000014,11.666666666666664,3.8333333333333335,202.66666666666663,83.08333333333333,28.5,64.91666666666667,1.9166666666666667,"[3002, 3002, 3002, 2503, 2004, 1505, 1504, 1005, 1004, 1003, 506, 7]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4, 5]"
3050,12,14,1720.583333333333,122.26500000000016,11.666666666666664,3.8333333333333335,202.66666666666663,83.08333333333333,28.5,64.91666666666667,1.9166666666666667,"[3052, 3052, 3052, 2553, 2054, 1555, 1554, 1055, 1054, 1053, 556, 57]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4, 5]"
3100,12,14,1770.583333333333,121.69333333333357,11.666666666666664,3.8333333333333335,202.66666666666663,83.08333333333333,28.5,64.91666666666667,1.9166666666666667,"[3102, 3102, 3102, 2603, 2104, 1605, 1604, 1105, 1104, 1103, 606, 107]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 4, 5]"
3150,11,15,1926.4545454545453,140.10545454545488,11.454545454545455,3.8181818181818175,200.0909090909091,83.9090909090909,27.818181818181817,64.0909090909091,1.7272727272727273,"[3152, 3152, 3152, 2653, 2154, 1655, 1654, 1155, 1154, 1153, 157]","[0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 5]"
3200,10,16,1853.9,156.78800000000075,11.8,3.9,191.2,86.8,28.3,64.8,1.9,"[3202, 3202, 2703, 2204, 1705, 1704, 1205, 1204, 1203, 207]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5]"
3250,10,16,1903.9,158.08000000000058,11.8,3.9,191.2,86.8,28.3,64.8,1.9,"[3252, 3252, 2753, 2254, 1755, 1754, 1255, 1254, 1253, 257]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5]"
3300,10,16,1953.9,159.86900000000006,11.8,3.9,191.2,86.8,28.3,64.8,1.9,"[3302, 3302, 2803, 2304, 1805, 1804, 1305, 1304, 1303, 307]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5]"
3350,10,16,2003.9,173.26600000000005,11.8,3.9,191.2,86.8,28.3,64.8,1.9,"[3352, 3352, 2853, 2354, 1855, 1854, 1355, 1354, 1353, 357]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5]"
3400,10,16,2053.9,165.45299999999997,11.8,3.9,191.2,86.8,28.3,64.8,1.9,"[3402, 3402, 2903, 2404, 1905, 1904, 1405, 1404, 1403, 407]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5]"
3450,10,16,2103.9,162.50299999999987,11.8,3.9,191.2,86.8,28.3,64.8,1.9,"[3452, 3452, 2953, 2454, 1955, 1954, 1455, 1454, 1453, 457]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5]"
3500,13,16,1658.0,155.87307692307678,12.153846153846152,3.8461538461538463,197.84615384615384,83.84615384615384,29.615384615384613,66.07692307692308,2.1538461538461537,"[3502, 3502, 3003, 2504, 2005, 2004, 1505, 1504, 1503, 507, 8, 4, 3]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5, 6, 2, 1]"
3550,13,16,1708.0,152.07999999999976,12.153846153846152,3.8461538461538463,197.84615384615384,83.84615384615384,29.615384615384613,66.07692307692308,2.1538461538461537,"[3552, 3552, 3053, 2554, 2055, 2054, 1555, 1554, 1553, 557, 58, 54, 53]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5, 6, 2, 1]"
3600,13,16,1758.0,146.36923076923046,12.153846153846152,3.8461538461538463,197.84615384615384,83.84615384615384,29.615384615384613,66.07692307692308,2.1538461538461537,"[3602, 3602, 3103, 2604, 2105, 2104, 1605, 1604, 1603, 607, 108, 104, 103]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5, 6, 2, 1]"
3650,13,16,1808.0,132.53230769230734,12.153846153846152,3.8461538461538463,197.84615384615384,83.84615384615384,29.615384615384613,66.07692307692308,2.1538461538461537,"[3652, 3652, 3153, 2654, 2155, 2154, 1655, 1654, 1653, 657, 158, 154, 153]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5, 6, 2, 1]"
3700,13,16,1858.0,122.06384615384572,12.153846153846152,3.8461538461538463,197.84615384615384,83.84615384615384,29.615384615384613,66.07692307692308,2.1538461538461537,"[3702, 3702, 3203, 2704, 2205, 2204, 1705, 1704, 1703, 707, 208, 204, 203]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5, 6, 2, 1]"
3750,13,16,1908.0,109.91692307692254,12.153846153846152,3.8461538461538463,197.84615384615384,83.84615384615384,29.615384615384613,66.07692307692308,2.1538461538461537,"[3752, 3752, 3253, 2754, 2255, 2254, 1755, 1754, 1753, 757, 258, 254, 253]","[0, 0, 1, 2, 3, 2, 3, 2, 1, 5, 6, 2, 1]"
3800,10,19,1953.8,151.41799999999938,12.8,4.0,220.9,80.4,30.3,69.3,1.8,"[3802, 3802, 3303, 2304, 1805, 1804, 1803, 308, 304, 303]","[0, 0, 1, 2, 3, 2, 1, 6, 2, 1]"
3850,10,19,2003.8,163.97899999999925,12.8,4.0,220.9,80.4,30.3,69.3,1.8,"[3852, 3852, 3353, 2354, 1855, 1854, 1853, 358, 354, 353]","[0, 0, 1, 2, 3, 2, 1, 6, 2, 1]"
3900,9,20,2014.888888888889,193.0811111111102,12.666666666666664,4.0,219.77777777777774,81.1111111111111,30.11111111111111,69.0,1.7777777777777777,"[3902, 3902, 3403, 1905, 1904, 1903, 408, 404, 403]","[0, 0, 1, 3, 2, 1, 6, 2, 1]"
3950,9,20,2064.8888888888887,200.35111111110984,12.666666666666664,4.0,219.77777777777774,81.1111111111111,30.11111111111111,69.0,1.7777777777777777,"[3952, 3952, 3453, 1955, 1954, 1953, 458, 454, 453]","[0, 0, 1, 3, 2, 1, 6, 2, 1]"
4000,13,20,1465.5384615384617,174.07538461538377,12.307692307692307,4.076923076923077,221.0769230769231,84.84615384615384,28.923076923076927,68.46153846153847,2.0,"[4002, 4002, 3503, 2005, 2004, 2003, 508, 504, 503, 6, 5, 4, 3]","[0, 0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2, 1]"
4050,13,20,1515.5384615384617,177.0807692307687,12.307692307692307,4.076923076923077,221.0769230769231,84.84615384615384,28.923076923076927,68.46153846153847,2.0,"[4052, 4052, 3553, 2055, 2054, 2053, 558, 554, 553, 56, 55, 54, 53]","[0, 0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2, 1]"
4100,13,20,1565.5384615384617,176.65692307692248,12.307692307692307,4.076923076923077,221.0769230769231,84.84615384615384,28.923076923076927,68.46153846153847,2.0,"[4102, 4102, 3603, 2105, 2104, 2103, 608, 604, 603, 106, 105, 104, 103]","[0, 0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2, 1]"
4150,13,20,1615.5384615384617,175.04076923076855,12.307692307692307,4.076923076923077,221.0769230769231,84.84615384615384,28.923076923076927,68.46153846153847,2.0,"[4152, 4152, 3653, 2155, 2154, 2153, 658, 654, 653, 156, 155, 154, 153]","[0, 0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2, 1]"
4200,11,22,1567.909090909091,204.28363636363582,12.363636363636365,4.090909090909091,221.45454545454547,83.9090909090909,29.181818181818183,68.63636363636364,2.272727272727273,"[4202, 3703, 2205, 2204, 2203, 708, 704, 703, 206, 205, 204]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2]"
4250,11,22,1617.909090909091,209.27454545454464,12.363636363636365,4.090909090909091,221.45454545454547,83.9090909090909,29.181818181818183,68.63636363636364,2.272727272727273,"[4252, 3753, 2255, 2254, 2253, 758, 754, 753, 256, 255, 254]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2]"
4300,11,22,1667.909090909091,206.61272727272626,12.363636363636365,4.090909090909091,221.45454545454547,83.9090909090909,29.181818181818183,68.63636363636364,2.272727272727273,"[4302, 3803, 2305, 2304, 2303, 808, 804, 803, 306, 305, 304]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2]"
4350,11,22,1717.909090909091,197.7436363636353,12.363636363636365,4.090909090909091,221.45454545454547,83.9090909090909,29.181818181818183,68.63636363636364,2.272727272727273,"[4352, 3853, 2355, 2354, 2353, 858, 854, 853, 356, 355, 354]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2]"
4400,11,22,1767.909090909091,202.72454545454428,12.363636363636365,4.090909090909091,221.45454545454547,83.9090909090909,29.181818181818183,68.63636363636364,2.272727272727273,"[4402, 3903, 2405, 2404, 2403, 908, 904, 903, 406, 405, 404]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2]"
4450,11,22,1817.909090909091,189.63818181818056,12.363636363636365,4.090909090909091,221.45454545454547,83.9090909090909,29.181818181818183,68.63636363636364,2.272727272727273,"[4452, 3953, 2455, 2454, 2453, 958, 954, 953, 456, 455, 454]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2]"
4500,17,22,1210.6470588235295,167.239411764705,12.705882352941178,4.0,220.64705882352942,83.05882352941177,29.94117647058824,69.05882352941177,2.764705882352941,"[4502, 4003, 2505, 2504, 2503, 1008, 1004, 1003, 506, 505, 504, 9, 7, 6, 5, 4, 3]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2, 7, 5, 4, 3, 2, 1]"
4550,17,22,1260.6470588235295,155.7758823529403,12.705882352941178,4.0,220.64705882352942,83.05882352941177,29.94117647058824,69.05882352941177,2.764705882352941,"[4552, 4053, 2555, 2554, 2553, 1058, 1054, 1053, 556, 555, 554, 59, 57, 56, 55, 54, 53]","[0, 1, 3, 2, 1, 6, 2, 1, 4, 3, 2, 7, 5, 4, 3, 2, 1]"
4600,16,23,1323.3125,172.1499999999992,12.625,4.0625,220.0,83.625,29.4375,68.875,2.5625,"[4602, 4103, 2605, 2604, 2603, 1104, 1103, 606, 605, 604, 109, 107, 106, 105, 104, 103]","[0, 1, 3, 2, 1, 2, 1, 4, 3, 2, 7, 5, 4, 3, 2, 1]"
4650,16,23,1373.3125,166.60812499999938,12.625,4.0625,220.0,83.625,29.4375,68.875,2.5625,"[4652, 4153, 2655, 2654, 2653, 1154, 1153, 656, 655, 654, 159, 157, 156, 155, 154, 153]","[0, 1, 3, 2, 1, 2, 1, 4, 3, 2, 7, 5, 4, 3, 2, 1]"
4700,16,23,1423.3125,174.41249999999934,12.625,4.0625,220.0,83.625,29.4375,68.875,2.5625,"[4702, 4203, 2705, 2704, 2703, 1204, 1203, 706, 705, 704, 209, 207, 206, 205, 204, 203]","[0, 1, 3, 2, 1, 2, 1, 4, 3, 2, 7, 5, 4, 3, 2, 1]"
4750,15,24,1554.2666666666669,182.96666666666587,12.533333333333333,4.133333333333334,219.13333333333333,84.26666666666667,28.86666666666667,68.66666666666667,2.2666666666666666,"[4752, 4253, 2755, 2754, 2753, 1254, 1253, 756, 755, 754, 257, 256, 255, 254, 253]","[0, 1, 3, 2, 1, 2, 1, 4, 3, 2, 5, 4, 3, 2, 1]"
4800,15,24,1604.2666666666669,180.32866666666598,12.533333333333333,4.133333333333334,219.13333333333333,84.26666666666667,28.86666666666667,68.66666666666667,2.2666666666666666,"[4802, 4303, 2805, 2804, 2803, 1304, 1303, 806, 805, 804, 307, 306, 305, 304, 303]","[0, 1, 3, 2, 1, 2, 1, 4, 3, 2, 5, 4, 3, 2, 1]"
4850,15,24,1654.2666666666669,169.5419999999996,12.533333333333333,4.133333333333334,219.13333333333333,84.26666666666667,28.86666666666667,68.66666666666667,2.2666666666666666,"[4852, 4353, 2855, 2854, 2853, 1354, 1353, 856, 855, 854, 357, 356, 355, 354, 353]","[0, 1, 3, 2, 1, 2, 1, 4, 3, 2, 5, 4, 3, 2, 1]"
